FECHA,COD_ALMACEN,COD_SKU,DESC_SKU,DEMANDA
10-11-19,W113,PT-001,SKU_1,41
10-11-19,W113,PT-025,SKU_25,52
10-11-19,W113,PT-033,SKU_33,12
10-11-19,W113,PT-101,SKU_101,25
23-11-19,W113,PT-047,SKU_47,11
23-11-19,W113,PT-049,SKU_49,1
23-11-19,W113,PT-104,SKU_104,16
23-11-19,W113,PT-121,SKU_121,16
23-11-19,W113,PT-003,SKU_3,55
23-11-19,W113,PT-024,SKU_24,2
24-11-19,W113,PT-046,SKU_46,1
10-11-19,W113,PT-104,SKU_104,15
10-11-19,W113,PT-003,SKU_3,46
23-11-19,W113,PT-017,SKU_17,14
23-11-19,W113,PT-046,SKU_46,2
10-11-19,W113,PT-037,SKU_37,3
