FECHA,COD_ALMACEN,COD_SKU,DESC_SKU,DEMANDA
29-11-19,W113,PT-010,SKU_10,6
29-11-19,W113,PT-089,SKU_89,4
29-11-19,W113,PT-121,SKU_121,5
29-11-19,W113,PT-055,SKU_55,4
29-11-19,W113,PT-022,SKU_22,11
29-11-19,W113,PT-105,SKU_105,1
15-11-19,W113,PT-041,SKU_41,2
15-11-19,W113,PT-058,SKU_58,6
15-11-19,W113,PT-104,SKU_104,13
15-11-19,W113,PT-054,SKU_54,2
25-11-19,W113,PT-032,SKU_32,5
25-11-19,W113,PT-089,SKU_89,5
26-11-19,W113,PT-052,SKU_52,2
28-11-19,W113,PT-001,SKU_1,8
15-11-19,W113,PT-017,SKU_17,11
15-11-19,W113,PT-034,SKU_34,2
15-11-19,W113,PT-108,SKU_108,2
15-11-19,W113,PT-038,SKU_38,1
24-11-19,W113,PT-045,SKU_45,5
24-11-19,W113,PT-108,SKU_108,6
24-11-19,W113,PT-117,SKU_117,1
25-11-19,W113,PT-118,SKU_118,3
28-11-19,W113,PT-055,SKU_55,3
28-11-19,W113,PT-108,SKU_108,4
10-11-19,W113,PT-011,SKU_11,7
10-11-19,W113,PT-014,SKU_14,36
10-11-19,W113,PT-076,SKU_76,2
10-11-19,W113,PT-061,SKU_61,2
23-11-19,W113,PT-060,SKU_60,2
23-11-19,W113,PT-038,SKU_38,13
23-11-19,W113,PT-096,SKU_96,5
23-11-19,W113,PT-052,SKU_52,9
23-11-19,W113,PT-108,SKU_108,5
24-11-19,W113,PT-061,SKU_61,2
10-11-19,W113,PT-034,SKU_34,3
23-11-19,W113,PT-057,SKU_57,1
23-11-19,W113,PT-008,SKU_8,3
23-11-19,W113,PT-043,SKU_43,3
10-11-19,W113,PT-006,SKU_6,6
10-11-19,W113,PT-117,SKU_117,1
18-11-19,W113,PT-013,SKU_13,14
18-11-19,W113,PT-115,SKU_115,2
18-11-19,W113,PT-039,SKU_39,5
18-11-19,W113,PT-105,SKU_105,7
18-11-19,W113,PT-033,SKU_33,3
18-11-19,W113,PT-023,SKU_23,1
18-11-19,W113,PT-055,SKU_55,4
18-11-19,W113,PT-079,SKU_79,2
18-11-19,W113,PT-118,SKU_118,5
01-11-19,W113,PT-103,SKU_103,3
01-11-19,W113,PT-096,SKU_96,1
01-11-19,W113,PT-058,SKU_58,2
01-11-19,W113,PT-036,SKU_36,1
01-11-19,W113,PT-118,SKU_118,1
04-11-19,W113,PT-089,SKU_89,25
04-11-19,W113,PT-010,SKU_10,23
04-11-19,W113,PT-026,SKU_26,31
04-11-19,W113,PT-039,SKU_39,27
04-11-19,W113,PT-030,SKU_30,5
04-11-19,W113,PT-102,SKU_102,6
04-11-19,W113,PT-114,SKU_114,1
04-11-19,W113,PT-052,SKU_52,9
04-11-19,W113,PT-042,SKU_42,12
01-11-19,W113,PT-079,SKU_79,1
03-11-19,W113,PT-019,SKU_19,7
03-11-19,W113,PT-020,SKU_20,2
03-11-19,W113,PT-089,SKU_89,19
03-11-19,W113,PT-105,SKU_105,13
03-11-19,W113,PT-119,SKU_119,6
03-11-19,W113,PT-033,SKU_33,2
03-11-19,W113,PT-102,SKU_102,4
02-11-19,W113,PT-013,SKU_13,44
02-11-19,W113,PT-012,SKU_12,5
02-11-19,W113,PT-042,SKU_42,6
02-11-19,W113,PT-079,SKU_79,8
02-11-19,W113,PT-108,SKU_108,1
02-11-19,W113,PT-046,SKU_46,3
02-11-19,W113,PT-007,SKU_7,1
02-11-19,W113,PT-030,SKU_30,2
27-11-19,W113,PT-032,SKU_32,4
27-11-19,W113,PT-029,SKU_29,5
27-11-19,W113,PT-059,SKU_59,1
27-11-19,W113,PT-101,SKU_101,30
27-11-19,W113,PT-012,SKU_12,4
27-11-19,W113,PT-005,SKU_5,2
27-11-19,W113,PT-004,SKU_4,2
27-11-19,W113,PT-045,SKU_45,2
27-11-19,W113,PT-047,SKU_47,4
05-11-19,W113,PT-105,SKU_105,9
27-11-19,W113,PT-131,SKU_131,1
27-11-19,W113,PT-103,SKU_103,1
27-11-19,W113,PT-018,SKU_18,2
05-11-19,W113,PT-010,SKU_10,1
06-11-19,W113,PT-016,SKU_16,10
06-11-19,W113,PT-003,SKU_3,12
06-11-19,W113,PT-033,SKU_33,1
07-11-19,W113,PT-016,SKU_16,13
07-11-19,W113,PT-022,SKU_22,18
07-11-19,W113,PT-013,SKU_13,7
07-11-19,W113,PT-061,SKU_61,1
07-11-19,W113,PT-046,SKU_46,1
07-11-19,W113,PT-070,SKU_70,1
07-11-19,W113,PT-108,SKU_108,4
07-11-19,W113,PT-001,SKU_1,13
08-11-19,W113,PT-003,SKU_3,16
08-11-19,W113,PT-019,SKU_19,1
08-11-19,W113,PT-020,SKU_20,4
08-11-19,W113,PT-106,SKU_106,5
08-11-19,W113,PT-117,SKU_117,1
08-11-19,W113,PT-038,SKU_38,1
08-11-19,W113,PT-096,SKU_96,5
09-11-19,W113,PT-001,SKU_1,25
09-11-19,W113,PT-007,SKU_7,1
07-11-19,W113,PT-035,SKU_35,1
08-11-19,W113,PT-059,SKU_59,1
08-11-19,W113,PT-102,SKU_102,5
09-11-19,W113,PT-002,SKU_2,3
09-11-19,W113,PT-031,SKU_31,3
11-11-19,W113,PT-032,SKU_32,3
11-11-19,W113,PT-023,SKU_23,18
11-11-19,W113,PT-022,SKU_22,61
11-11-19,W113,PT-054,SKU_54,2
11-11-19,W113,PT-043,SKU_43,3
11-11-19,W113,PT-006,SKU_6,3
11-11-19,W113,PT-089,SKU_89,15
12-11-19,W113,PT-026,SKU_26,4
12-11-19,W113,PT-031,SKU_31,1
12-11-19,W113,PT-011,SKU_11,1
12-11-19,W113,PT-025,SKU_25,11
12-11-19,W113,PT-022,SKU_22,8
12-11-19,W113,PT-040,SKU_40,1
13-11-19,W113,PT-005,SKU_5,5
13-11-19,W113,PT-045,SKU_45,2
13-11-19,W113,PT-011,SKU_11,1
13-11-19,W113,PT-036,SKU_36,6
14-11-19,W113,PT-034,SKU_34,2
14-11-19,W113,PT-058,SKU_58,6
09-11-19,W113,PT-027,SKU_27,3
09-11-19,W113,PT-076,SKU_76,7
12-11-19,W113,PT-123,SKU_123,1
13-11-19,W113,PT-029,SKU_29,7
12-11-19,W113,PT-047,SKU_47,5
13-11-19,W113,PT-104,SKU_104,15
13-11-19,W113,PT-103,SKU_103,4
13-11-19,W113,PT-037,SKU_37,1
14-11-19,W113,PT-015,SKU_15,5
14-11-19,W113,PT-039,SKU_39,5
14-11-19,W113,PT-023,SKU_23,1
09-11-19,W113,PT-020,SKU_20,2
09-11-19,W113,PT-014,SKU_14,16
12-11-19,W113,PT-052,SKU_52,1
16-11-19,W113,PT-001,SKU_1,28
16-11-19,W113,PT-104,SKU_104,15
16-11-19,W113,PT-121,SKU_121,4
16-11-19,W113,PT-055,SKU_55,16
16-11-19,W113,PT-060,SKU_60,5
16-11-19,W113,PT-024,SKU_24,3
14-11-19,W113,PT-012,SKU_12,4
14-11-19,W113,PT-045,SKU_45,2
09-11-19,W113,PT-042,SKU_42,14
09-11-19,W113,PT-103,SKU_103,1
09-11-19,W113,PT-108,SKU_108,4
11-11-19,W113,PT-108,SKU_108,3
16-11-19,W113,PT-034,SKU_34,2
17-11-19,W113,PT-025,SKU_25,67
17-11-19,W113,PT-011,SKU_11,6
17-11-19,W113,PT-089,SKU_89,22
17-11-19,W113,PT-104,SKU_104,15
17-11-19,W113,PT-037,SKU_37,9
17-11-19,W113,PT-023,SKU_23,13
17-11-19,W113,PT-045,SKU_45,6
17-11-19,W113,PT-013,SKU_13,59
17-11-19,W113,PT-042,SKU_42,6
17-11-19,W113,PT-103,SKU_103,7
19-11-19,W113,PT-052,SKU_52,3
19-11-19,W113,PT-048,SKU_48,2
19-11-19,W113,PT-012,SKU_12,2
19-11-19,W113,PT-121,SKU_121,5
19-11-19,W113,PT-003,SKU_3,6
19-11-19,W113,PT-047,SKU_47,3
19-11-19,W113,PT-089,SKU_89,3
19-11-19,W113,PT-060,SKU_60,1
19-11-19,W113,PT-033,SKU_33,2
20-11-19,W113,PT-017,SKU_17,4
09-11-19,W113,PT-040,SKU_40,1
17-11-19,W113,PT-005,SKU_5,3
17-11-19,W113,PT-096,SKU_96,4
19-11-19,W113,PT-045,SKU_45,1
20-11-19,W113,PT-034,SKU_34,2
20-11-19,W113,PT-047,SKU_47,1
20-11-19,W113,PT-030,SKU_30,1
20-11-19,W113,PT-026,SKU_26,7
20-11-19,W113,PT-128,SKU_128,2
20-11-19,W113,PT-037,SKU_37,1
20-11-19,W113,PT-061,SKU_61,1
20-11-19,W113,PT-049,SKU_49,1
17-11-19,W113,PT-120,SKU_120,1
21-11-19,W113,PT-122,SKU_122,8
21-11-19,W113,PT-115,SKU_115,4
21-11-19,W113,PT-029,SKU_29,17
21-11-19,W113,PT-017,SKU_17,9
21-11-19,W113,PT-015,SKU_15,6
21-11-19,W113,PT-008,SKU_8,1
22-11-19,W113,PT-105,SKU_105,2
22-11-19,W113,PT-012,SKU_12,2
22-11-19,W113,PT-016,SKU_16,11
22-11-19,W113,PT-003,SKU_3,19
22-11-19,W113,PT-110,SKU_110,2
22-11-19,W113,PT-015,SKU_15,9
22-11-19,W113,PT-052,SKU_52,1
24-11-19,W113,PT-076,SKU_76,9
20-11-19,W113,PT-054,SKU_54,1
22-11-19,W113,PT-019,SKU_19,4
22-11-19,W113,PT-045,SKU_45,1
24-11-19,W113,PT-036,SKU_36,11
24-11-19,W113,PT-032,SKU_32,12
25-11-19,W113,PT-039,SKU_39,3
25-11-19,W113,PT-060,SKU_60,1
26-11-19,W113,PT-016,SKU_16,19
26-11-19,W113,PT-013,SKU_13,19
26-11-19,W113,PT-012,SKU_12,3
26-11-19,W113,PT-035,SKU_35,1
26-11-19,W113,PT-022,SKU_22,16
26-11-19,W113,PT-015,SKU_15,1
26-11-19,W113,PT-047,SKU_47,4
26-11-19,W113,PT-102,SKU_102,3
26-11-19,W113,PT-118,SKU_118,4
28-11-19,W113,PT-023,SKU_23,2
28-11-19,W113,PT-020,SKU_20,1
28-11-19,W113,PT-104,SKU_104,16
29-11-19,W113,PT-003,SKU_3,11
29-11-19,W113,PT-014,SKU_14,5
29-11-19,W113,PT-047,SKU_47,1
29-11-19,W113,PT-131,SKU_131,2
15-11-19,W113,PT-032,SKU_32,1
24-11-19,W113,PT-102,SKU_102,7
